交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2020/12/04,MTX,202012  ,14018,14148,14012,14137,155,1.11%,141694,14133,49710,14135,14137,14148,7638,,一般,,
2020/12/07,MTX,202012  ,14180,14247,14087,14224,91,0.64%,164667,14220,43564,14223,14224,14247,7638,,一般,,
2020/12/08,MTX,202012  ,14203,14349,14156,14341,121,0.85%,149882,14340,45358,14341,14342,14349,7638,,一般,,
2020/12/09,MTX,202012  ,14370,14425,14331,14396,56,0.39%,124879,14397,43795,14396,14399,14425,7638,,一般,,
2020/12/10,MTX,202012  ,14258,14314,14178,14239,-158,-1.10%,159454,14237,39495,14238,14241,14425,7638,,一般,,
2020/12/11,MTX,202012  ,14288,14340,14091,14239,2,0.01%,199461,14237,38320,14237,14239,14425,7638,,一般,,
2020/12/14,MTX,202012  ,14265,14286,14196,14201,-36,-0.25%,123534,14201,39726,14201,14203,14425,7638,,一般,,
2020/12/15,MTX,202012  ,14162,14233,14030,14080,-121,-0.85%,170900,14084,37325,14080,14083,14425,7638,,一般,,
2020/12/16,MTX,202012  ,14194,14329,14186,14323,239,1.70%,95401,0,22418,14323,14324,14425,7638,,一般,,
2020/12/17,MTX,202101  ,14222,14225,14086,14186,-3,-0.02%,162555,14186,29689,14186,14187,14308,12238,,一般,,
2020/12/18,MTX,202101  ,14190,14222,14128,14137,-49,-0.35%,121734,14136,31674,14136,14137,14308,12238,,一般,,
2020/12/21,MTX,202101  ,14154,14312,14021,14311,175,1.24%,175833,14309,35298,14310,14311,14312,12238,,一般,,
2020/12/22,MTX,202101  ,14255,14334,14042,14043,-266,-1.86%,183016,14046,34380,14043,14045,14334,12238,,一般,,
2020/12/23,MTX,202101  ,14101,14181,14031,14115,69,0.49%,149078,14114,34924,14113,14114,14334,12238,,一般,,
2020/12/24,MTX,202101  ,14176,14288,14176,14244,130,0.92%,149078,14242,37143,14243,14245,14334,12238,,一般,,
2020/12/25,MTX,202101  ,14324,14382,14245,14305,63,0.44%,127632,14304,36333,14305,14306,14382,12238,,一般,,
2020/12/28,MTX,202101  ,14325,14444,14319,14436,132,0.92%,107675,14436,40705,14436,14438,14444,12238,,一般,,
2020/12/29,MTX,202101  ,14467,14468,14377,14460,24,0.17%,106659,14458,37362,14458,14460,14474,12238,,一般,,
2020/12/30,MTX,202101  ,14451,14642,14440,14637,179,1.24%,124925,14636,43654,14635,14636,14642,12238,,一般,,
2020/12/31,MTX,202101  ,14678,14712,14604,14678,42,0.29%,131284,14678,37531,14677,14678,14712,12238,,一般,,
